TRIFD,ID,ADDRESS
44804MDWSTSTATE,15469,19710 STATE RT 12 OH 44804
44857PCTCH20EBL,15512,200 E BLUEGRASS DR OH 44857
44902WRRNR800NM,15545,800 N MAIN ST OH 44902
44870NNCHN1010E,15521,1010 EDGEWATER DR OH 44870
44870STNDS1622F,15523,1622 FIRST ST OH 44870
4501WSFTYK412TH,15605,4120 THUNDERBIRD LN OH 45014
45044CHTQF261SV,15641,2601 S VERITY PKWY OH 45044
45050CHRMD341LA,15651,341 LAWTON AVE OH 45050
4505WWRLDF89TDH,15660,890 TODHUNTER RD OH 45050
4506WGVTND971WI,15677,9701 WINDISCH RD OH 45069
45204PRRFR9990P,15730,9990 PRINCETON RD OH 45246
45237STMPN6265W,15809,6265 WIEHE RD OH 45237
45036SCHMD360HA,15621,360 HARMON AVE OH 45036
45040MTSBS4773B,15632,4773 BETHANY RD OH 45040
45202CGMMF10800,15725,11021 BROWER RD OH 45052
45204CNSLD1028D,15727,1028 DEPOT ST OH 45204
45215HMYRDJOHNE,15754,415 JOHN ST OH 45215
45216GCSCC333WS,15764,333 W SEYMOUR AVE OH 45216
45232HNKLC4900E,15797,4900 ESTE AVE OH 45232
45241TRNTY11861,15824,11861 MOSTELLER RD OH 45241
4524WWRNCK1825K,15862,10825 KENWOOD RD OH 45242
45301CMSCR530SO,15863,530 S ORCHARD LN OH 45301
45385LNCRP2060H,15963,2060 HELLER DR OH 45434
45417NLNDD2701H,15993,2701 HOME AVE OH 45417
45662SCNDS202VI,16065,202 VINE ST OH 45662
46060NDSTR407S7,16224,407 S 7TH ST IN 46060
46383PFZRP4901E,16553,4901 EVANS AVE IN 46383
46582MYRMT2933N,16846,2933 N CR 200 W IN 46582
4675WTYLRM111ST,16996,1101 STONEBRAKER DR IN 46755
45066SNNXN85SUT,15665,85 S PIONEER BLVD OH 45066
45244SNCPR8485B,15838,8450 BROADWELL RD OH 45244
45356TRMRK8585I,15913,8585 INDUSTRY PARK DR OH 45356
45365CRGLL2400I,15917,2400 INDUSTRIAL DR OH 45365
45502DLFRS600BE,16020,600 BENJAMIN DR OH 45502
4580WNLSNP181RE,16111,1801 RESERVOIR RD OH 45804
45846CPRFR3310S,16143,3310 STATE RT 49 OH 45846
45853KLDMN81TTA,16147,801 OTTAWA ST OH 45853
45885THGDY1115S,16177,1115 S WAYNE ST OH 45885
4589WPRTTP286CU,16189,602 LEON PRATT DRIVE OH 45895
4617WPTBRF2373W,16316,2373 W 300 N IN 46176
46202BDYCT5W21S,16319,500 W 21ST ST IN 46202
4635WMSSRL7996N,16519,7996 N STATE ROAD 39 IN 46350
4651WSCNTF1655G,16702,1655 GATEWAY CT IN 46514
46563FRRCR1301N,16794,1301 N FLORA ST IN 46563
46580MRTNPLEITE,16836,1102 LEITER DR IN 46580
46733THNDR2200W,16949,2200 W MONROE ST IN 46733
4675WMHNYF29WES,16993,209 WEST OHIO STREET IN 46755
46788RHNHR5345C,17017,5345 COUNTY RD 68 IN 46788
47130GFMNC211EA,17193,211 EASTERN BLVD IN 47130
47346CNSLD4359S,17325,4359 N STATE RD 1 IN 47346
47918CDCHR200WE,17583,200 W MAIN ST IN 47918
45885PRKRH1700E,16173,1700 E. SPRING ST. OH 45885
46563CTRSH2050N,16792,2050 N OAK RD IN 46563
47421NDNST957JS,17392,957 J ST IN 47421
4673WLNDDR4CHAM,16959,400 CHAMBER DR IN 46733
47250CNTRY44NRT,17272,4004 N US 421 IN 47250
45067MGNDC400ES,15666,400 E STATE ST OH 45067
45071MYLNH8814T,15679,8814 TRADE PORT DR OH 45071
45067MLLRB2525W,15667,2525 WAYNE MADISON RD OH 45067
45102STWRT3919B,15682,3919 BACH BUXTON RD OH 45102
45225MCRMT3448S,15775,3448 SPRING GROVE AVE OH 45225
45241MCHLM3023E,15818,3023 E KEMPER RD OH 45241
45246CRNSH4933P,15842,4933 PROVIDENT DR OH 45246
45404HHMNP814HI,15975,814 HILLROSE AVE OH 45404
45750MCPRFPOBOX,16084,17005 ST RT 7 OH 45750
46201CNTCT70SGR,16317,70 S GRAY ST IN 46201
46217NDNPL3700S,16336,3700 S HARDING ST IN 46217
46345RLLCT2NDAN,16501,858 E HUPP RD IN 46350
45012THBCK400DA,15582,400 DAYTON ST OH 45011
45365RSSCS42SKU,15923,402 S KUTHER RD OH 45365
4536WFRNCS22RUS,15931,2200 RUSSIA VERSAILLES ROAD OH 45363
45638LBRTC3040S,16052,3040 S NINTH ST OH 45638
4575WDMXCR2835S,16089,28305 ST RTE 7 OH 45750
45895SPRRMKREIN,16187,317 E KREIN ST OH 45895
46072SRDCT100S5,16236,841 S 550 W IN 46072
4607WRNKRW436WH,16240,4360 WHITELICK DR IN 46075
46226DYNLY6445L,16373,6445 OLIVIA LN IN 46226
46321MNSTR9505C,16487,9505 CALUMET AVE IN 46321
46327MRCNS4831H,16493,4831 HOHMAN AVE IN 46327
46506RSTNCEAST2,16600,833 LEGNER ST IN 46506
46514CRSBF1600M,16622,1600 MISHAWAKA ST IN 46514
46514MYRMT81NNA,16634,801 N NAPPANEE ST IN 46514
46552DCTLT30350,16775,30350 EDISON RD IN 46552
4655WFRMNT52SAK,16783,2181 E MARKET ST IN 46550
46582WRSWR25SIL,16847,2500 SILVEUS CROSSING IN 46582
46706TWRTM801W1,16899,801 W 15TH ST IN 46706
46767MLLNN925NM,17000,925 N MAIN ST IN 46767
46801PHLPS4300N,17023,4300 NEW HAVEN AVE IN 46803
46802BSYSC2000T,17026,2000 TAYLOR ST IN 46802
46808HRRSK2801W,17052,2801 W STATE BLVD IN 46808
46947SMLLP600HU,17115,600 HUMPHREY ST IN 46947
47042DVMRP6496S,17177,6494 S US 421 IN 47042
47202TYTND5555I,17250,5559 INWOOD DR IN 47201
47265RLRND418ST,17283,418 STOCKWELL ST IN 47265
47265SNCPR1001N,17284,1001 N MADISON AVE IN 47265
4784WBRCKC2NSR5,17544,200 N. STATE ROAD 59 IN 47840
47918HRRSN900MO,17584,900 MOUND ST IN 47918
4635WMNSLL169GE,16518,1609 GENESIS DR IN 46350
4670WMTLSP8GRWT,16902,800 GROWTH PKWY IN 46703
46818TRXDV7727F,17081,7727 FREEDOM WAY IN 46818
46975TRXPRPOBOX,17144,4366 N OLD US HWY 31 IN 46975
47542DBSWDEAST6,17417,707 E 6TH. ST IN 47542
47670HNSNM901SO,17480,901 S FIRST ST IN 47670
47885PSWBS450BO,17552,450 BOLTON RD IN 47885
47903WBSHN1000S,17560,1000 SAGAMORE PKWY S IN 47905
47905NDSTR120N3,17568,120 N 36TH ST IN 47905
47987KRPPG12918,17611,1291 E 8TH ST IN 47987
4690WDLPHM151EC,17102,1501 E. CR 200 NORTH IN 46901
47130JFFBT1030E,17196,1030 E MARKET ST IN 47130
47131KTCHNPOBOX,17200,911 E 11TH ST IN 47130
45331BCKYG12280,15885,12280 CROTON RD OH 43013
45040JWHRR4501X,15631,4501 QUALITY PL OH 45040
45401MMPRC345SP,15968,345 SPRINGFIELD ST OH 45403
46041SNCHMSTATE,16210,2642 W  STATE RD 28 IN 46041
46124HRGRFUS31N,16247,6502 S US HWY 31 IN 46124
46214PTCMP7601R,16335,7601 ROCKVILLE RD IN 46214
4632WHMMND1745E,16497,1745 E 165TH ST IN 46320
46345KNGSB3RDRD,16500,3232 3RD RD ANNEX KINGSBURY INDUSTRIAL PARK IN 46345
46368NNDST1775W,16540,1775 WILLOWCREEK RD IN 46368
46510LSDRY7344S,16617,7344 ST RD 15 S IN 46510
4662WSMSCH461NI,16876,4601 NIMTZ PKWY IN 46628
4676WPRCSN215HE,17006,215 HECKNER DRIVE IN 46767
4679WLDCST2397C,17020,2397 COUNTY ROAD 27 IN 46793
47274GTPRD1231A,17287,1231 A AVE N IN 47274
47302MXNCR201E1,17298,201 E 18TH ST IN 47302
47542RTCMN1037E,17419,1037 E 15TH ST IN 47546
47586WPCFN9856S,17442,9856 STATE HWY 66 IN 47586
47725MTRXX15USH,17510,15000 US HWY 41 N IN 47725
45414PRTCT3345S,15989,3345 STOP EIGHT RD OH 45414
45895MDWST700IN,16185,700 INDUSTRIAL DR OH 45895
47130NTDTCPOBOX,17198,242 AMERICA PL IN 47130
4715WPDGTT91E4T,17220,901 E 4TH ST IN 47150
47710FRRCR5001O,17488,5001 O'HARA DR IN 47711
48066WLVRN29456,17680,29456 GROESBECK HWY MI 48066
4651WMCDWL21SUP,16697,2010 SUPERIOR ST IN 46516
46962NRTHM205WA,17136,205 WABASH RD IN 46962
47150PRDCT273MC,17215,2073 MCDONALD AVE IN 47150
47933NCRST400SO,17591,4537 S NUCOR RD IN 47933
46725LCLSX1SHOR,16930,802 E SHORT ST IN 46725
4724WBDYCT193NR,17267,1930 NORTH MONTGOMERY RD IN 47240
47987MSTRG1200E,17612,1200 E 8TH ST IN 47987
4680WSTNCR4115P,17075,4115 POLYMER PLACE IN 46809
48040SCHFN1875B,17638,1875 BUSHA HWY MI 48040
0782WPVSTN21RID,2201,23 RIDGE RD NJ 07826
07865BRLSC176TH,2215,176 THOMAS RD NJ 07865
08073NDCTT10IND,2310,10 INDEL AVE NJ 08073
0808WNFNTY279CE,2322,2079 CENTER SQUARE RD NJ 08085
07866PTTTP36PIN,2217,36 PINE ST NJ 07866
07932SMNSB8FERN,2230,8 FERNWOD RD NJ 07932
08066BMPRS167IM,2290,1607 IMPERIAL WAY NJ 08066
08332DRNDGWADEB,2361,901 S WADE BLVD NJ 08332
08360RCHLN164SW,2368,1640 SW BLVD NJ 08360
08362VNLND211NW,2369,211 N WEST AVE NJ 08360
08701GLSSL485OB,2403,485 OBERLIN AVE S NJ 08701
08822TLNTC137RT,2437,137 US-202 NJ 08551
08859CLPNP970WA,2462,790 WASHINGTON RD NJ 08859
1055WSTRNC1EDIS,2546,1 EDISON AVE NY 10550
1135WSCKNG3416C,2637,34-16 COLLEGE POINT BLVD NY 11354
12701CLMNT158SU,2850,158 SULLIVAN RD NY 12701
08052CVCSP2980R,2276,2980 RT 73 N NJ 08052
08215GGHRB801PH,2347,801 PHILADELPHIA AVE NJ 08215
08512PLNTFHIGHT,2377,38 HIGHTSTOWN-CRANBURY STATION NJ 08512
08857QGLYCBORDE,2461,6001 BORDENTOWN AVE NJ 08857
08876BMCSN106ME,2491,106 MEISTER AVE NJ 08876
0887WRCHML18USH,2503,1080 US HWY 202 S NJ 08876
10504SMCND1LABR,2533,1 LABRIOLA CT NY 10504
10965LDRLLNORTH,2581,401 N MIDDLETOWN RD NY 10965
10994SFTYK5SNAK,2591,50 SNAKE HILL RD NY 10994
11231MRDHS722CT,2625,722 CT ST NY 11231
11771MLLMX190PI,2696,190 PINE HOLLOW RD NY 11771
1179WWDNGRNRTHC,2710,NORTH COUNTRY ROAD NY 11786
12010MSTRDWALLI,2724,166 WALLINS CORNERS RD NY 12010
1277WMTLLZ9INDU,2853,9 INDUSTRIAL DRIVE NY 12775
1286WGRNFL25FRE,2875,25 FREEDOM WAY NY 12866
1294WLYMPCSTATE,2886,220 BOBSLED RUN LN NY 12946
13027NHSRB2885B,2898,2885 BELGIUM RD NY 13027
14005CRGLL3540R,3132,3540 RAILROAD AVE NY 14005
14120RVRSD871RI,3194,871 RIVER RD NY 14120
1415WNCDST1JAME,3222,100 JAMES AVE NY 14150
14204GRPHC4EXCH,3227,400 EXCHANGE ST NY 14204
1442WNRTHR5929L,3317,5929 LOOMIS RD NY 14425
1458WRCHST85JHN,3369,850 JOHN ST NY 14586
1462WCLDWL265MA,3410,2605 MANITOU RD NY 14624
15715STRRNMITCH,3798,135 MITCHELL AVE PA 15715
15767BFGLC701MA,3806,701 MARTHA ST PA 15767
1650WHGHPR2955W,4122,2955 W 17TH ST PA 16505
08638RCRRL157NL,2394,1570 N OLDEN AVE NJ 08638
08846SVRLN207PO,2445,207 POND AVE NJ 08846
1091WRCNTR1RITA,2566,100 ORITANI DR NY 10913
10941CHRML15TWE,2573,105 TOWER DR NY 10941
11206PFZRN630FL,2611,630 FLUSHING AVE NY 11206
11222MCLC0125AP,2621,125 APOLLO ST NY 11222
11704STRLD49JER,2666,49 JERSEY ST NY 11704
12095CRVLLKNOXA,2753,10 KNOX AVE NY 12095
1209WFGSDR1PPRT,2757,1 OPPORTUNITY DR NY 12095
12150SCHNC1000M,2773,1000 MAIN ST NY 12150
12181RSSVL6OAKW,2778,6 OAKWOOD AVE NY 12180
1240WNCDST625SA,2812,625 SAWKILL RD NY 12401
1304WCVLLY3156F,2914,3156 FINGER LAKES E DR NY 13045
13126NGRMH261WA,2942,261 WASHINGTON BLVD NY 13126
13211SRFRC61EML,2974,6001 E MOLLOY RD NY 13211
1332WFLCST15SUT,2993,15 S 2ND ST NY 13329
13413SSSMR4355M,3009,4355 MIDDLE SETTLEMENT RD NY 13413
13760NDCTT1701N,3095,1701 NORTH ST NY 13760
1376WGDSGL171NR,3098,1701 NORTH STREET NY 13760
13901CLNKC11BEC,3116,11 BECKWITH AVE NY 13901
1390WSHLTR2CURT,3129,200 COURT STREET NY 13902
14094LLGHN695OH,3178,695 OHIO ST NY 14094
14150SGRKK570FI,3216,570 FILLMORE AVE NY 14150
1420WRDGRD92MSG,3239,92 MSGR. VALENTE DRIVE NY 14206
14210NGRCR75HAY,3241,75 HAYES PL NY 14210
1430WSDDSF272KI,3308,2720 KIRKBRIDGE DRIVE NY 14304
14450FRRNC45OCO,3326,45 O'CONNOR RD NY 14450
1460WXLSGS8LEER,3385,800 LEE RD NY 14606
14733MNFRX501NE,3445,1870 NEW YORK AVE NY 14733
15022NTNLP9GUTT,3535,9 GUTTMAN AVE PA 15022
15025GRDNN1000G,3539,1000 GLASSHOUSE RD PA 15025
15025SSCLR400ST,3542,400 STATE ST MS 71 PA 15025
15033THRMR85WAS,3550,85 WASHINGTON AVE PA 15033
15225SHNNG200NE,3666,200 NEVILLE RD PA 15225
1555WTTRLR8535M,3739,8535 MASON DIXON HWY PA 15552
15650NWCMMPOBOX,3771,5369 RT 982 N PA 15650
1566WNTRVL11TEC,3784,1001 TECHNOLOGY DR PA 15666
15857PWDRM879WA,3856,879 WASHINGTON ST PA 15857
1585WDVNTG44SPL,3862,44 SPLEEN RD. PA 15853
1592WPBSCL1499G,3879,1499 GAHAGEN ROAD PA 15926
16146SHRNT134MI,3981,134 MILL ST PA 16146
16148DVNCDONELL,3984,ONE LLODIO DR PA 16148
16150DNDRYONEID,3992,1858 ONEIDA LN PA 16150
16301LCTRL175MA,4015,175 MAIN ST PA 16301
1632WFRNKL655GR,4029,655 GRANT ST PA 16323
16354LCRKP45619,4051,45619 ST HWY 27 PA 16354
16502BCNDS1325L,4098,1325 LIBERTY ST PA 16502
16502NTDRN1429W,4102,1432 CHESTNUT ST PA 16502
16506PNNRD2315W,4112,2315-2425 W 23RD ST & 2310 PITTSBURGH AVE (16502) PA 16506
1650WRGNSP232WE,4124,2320 WEST 50TH ST PA 16506
16603VDRRT6THAV,4151,2709 ROUTE 764 PA 16635
1701WSKYLN125ST,4238,1250 ST JOHN'S RD PA 17011
17049HPMCGPARTE,4268,5865 STATE ROUTE 235 PA 17049
17055RLSTN6509B,4276,6509 BRANDY LN PA 17050
17067BYRCR400WS,4292,400 W STOEVER AVE PA 17067
17402FNSHN70WIL,4397,70 WILLOW SPRINGS CIRCLE PA 17406
1230WTCHFB679MA,2804,679 MARIAVILLE RD NY 12306
13413SPCLMMIDDL,3008,4317 MIDDLE SETTLEMENT RD NY 13413
1471WCHTQP1287H,3442,1287 HUNT ROAD NY 14710
14750LRCHP2120F,3454,2120 FOURTH AVE NY 14750
14821PLLDR8600M,3476,8600 MAIN ST NY 14821
14831CRNNGSTEUB,3479,ONE STEUBEN ST NY 14830
14891CRGLL518EA,3495,518 E 4TH ST NY 14891
16003NTRNTPOBOX,3890,629 E BUTLER RD PA 16002
16136BBCCKMOUNT,3970,6403 6TH AVE PA 16136
1614WLLWDC1161N,3988,1161 N SHARPSVILLE AVE PA 16146
1633WTPCTB1748S,4043,10748 S WATER STREET EXT PA 16335
16365NTDRFPOBOX,4057,15 BRADLEY ST PA 16365
16415MRCNT7626K,4079,7626 KLIER DR PA 16415
16502MRCNH191RA,4101,1901 RASPBERRY ST PA 16502
17003SRMYFFRTIN,4221,FORT INDIANTOWN GAP TRAINING SITE PA 17003
1704WXCLHM1642S,4275,10642 S SUSQUEHANNA TRL PA 17045
17331KYSTN150FA,4369,150 FACTORY ST PA 17331
1733WHNVRF1175W,4378,1175 WILSON AVE PA 17331
17365PNNXL50COM,4391,50 C0MMUNITY ST PA 17365
1737WSPRTN14WAG,4394,1400 WAGO ROAD PA 17370
11371GDNVTLAGUA,2639,LAGUARDIA AIRPORT BUILDING 42 NY 11371
16509NNVTV4922P,4118,4922 PITTSBURGH AVE PA 16509
1704WLTCXX33N7T,4273,330 N 7TH AVE PA 17046
17318BDYCT27EMI,4351,270 EMIG RD PA 17318
08502LHNFNROUTE,2371,799 RT 206 & HILLSBOROUGH RD NJ 08844
13043CLLNNINGAL,2907,1 INGALLS CORNER RD NY 13043
08861NGLRT1200A,2473,1200 AMBOY AVE NJ 08861
13676GRFFT7554U,3086,7554 RT 11 NY 13676
13904MRXCH117EF,3123,117 E FREDERICK ST NY 13904
14807CRWLY25HUR,3471,25 HURLBUT ST NY 14807
15059MDLNDRTE68,3562,3852 MIDLAND BEAVER RD PA 15052
15144PPGND125CO,3638,125 COLFAX ST PA 15144
15520RXCLS296AC,3720,296 ACOSTA RD PA 15520
15644GNCRPCHAMB,3762,1001 CHAMBERS AVE PA 15644
15846RBCNC650BR,3835,650 BRANDY CAMP RD PA 15846
15851NGRCTSOUTH,3838,S 5TH ST PA 15851
16365GRNDV145FU,4055,1045 4TH AVE PA 16365
17101HRSYC301SC,4305,301 S CAMERON ST PA 17101
17402HRLYD1425E,4399,1425 EDEN RD PA 17402
15059JLSPC12THS,3561,950 TENTH ST PA 15059
16365RXNRD304MA,4060,304 MAIN AVE PA 16365
16407BLLYG1521E,4070,1521 ENTERPRISE RD PA 16407
16509HYSTR5599N,4116,5599 NEW PERRY HWY PA 16509
16601PNNJC4601C,4146,4601 CORTLAND AVE PA 16601
15301PLGRPPOBOX,3682,498 CRILE RD PA 15301
27107DGLSB500BA,6640,500 BATTERY DR NC 27107
27107PWRLB3352O,6642,3352 OLD LEXINGTON RD NC 27107
2726WCNCRT5813C,6723,5813 CLAYTON STREET NC 27263
27292PPGNDNEWJE,6745,473 NEW JERSEY CHURCH RD NC 27292
27105LCNCN2941I,6634,2941 INDIANA AVE NC 27105
2723WNTNLP969WE,6690,9609 WEST MARKET STREET NC 27235
27288RXMRL816FI,6736,816 FIELDCREST RD NC 27288
2728WTKNRP3518D,6739,3518 DILLON RD NC 27282
2736WNNSFL115TD,6808,115 TODD CT NC 27360
27502PTTRS82LUF,6867,820 LUFKIN RD NC 27539
2754WRGSKN6835F,6927,6835 FORESTVILLE RD NC 27545
27610CRLNF9FREE,6998,900 FREEDOM DR NC 27610
2732WCLNHR28WAT,6779,208 WATLINGTON INDUSTRIAL DRIVE NC 27320
27403DSTNC1025H,6822,1025 HOWARD ST NC 27403
27406STCKH2408D,6829,2401 DOYLE ST NC 27406
27509MNTHPBSTRE,6868,405 W B ST NC 27509
2752WNVNRD3611P,6889,3611 POWHATAN RD NC 27527
2753WSWGLD624PW,6915,624 POWELL ROAD NC 27530
2753WTHMSC845CM,6916,845 COMMERCE DR NC 27537
27560PWRSC3KITT,6939,300 KITTY HAWK DR NC 27560
27583VCTRT250CR,6973,250 CROWN BLVD NC 27583
27597GLXNC1011N,6981,1011 N ARENDELL AVE NC 27597
27870CHMPNNORTH,7066,100 GASTON RD NC 27870
27962WYRHSMAINA,7122,NC HWY 149 N NC 27962
28027LSMRC451EN,7143,4510 ENTERPRISE DR NW NC 28027
2803WLNXSS1225G,7159,1225 GASTONIA TECHNOLOGY PKWY NC 28034
2804WTRCTY158WI,7170,158 WINTHROW RD NC 28043
28086KNGSM1755S,7200,1755 SOUTH BATTLEGROUND AVE. NC 28086
2808WCNCRT181QU,7210,181 QUARRY RD NC 28086
28092RSHMP838LI,7218,838 LINCOLN COUNTY PKWY NC 28092
2810WNTRTP138BI,7234,13722 BILL MCGEE RD NC 28107
28110CDDYF2701S,7236,2701 SIMPSON ST NC 28112
28150CRTSS201OL,7325,201 OLD BOILING SPRINGS RD NC 28152
28217GNRLT1900C,7387,1900 CONTINENTAL BLVD NC 28273
28266CRLNP443SO,7407,443 S GARDNER AVE NC 28208
28311KLLYS6650R,7461,6650 RAMSEY ST NC 28311
2831WSWFYT139SU,7467,1309 SOUTH REILLY ROAD NC 28314
28328SCHND821IN,7473,821 INDUSTRIAL DR NC 28328
28382BRNCLHWY24,7534,2981 AUTRY HWY 24 NC 28382
28451MRCND1690N,7576,1690 NE ROYSTER RD NC 28451
2850WSNDRS168PA,7608,1680 PARROTT DICKERSON RD NC 28504
2862WCRSSR28BUC,7677,208 BUCKS INDUSTRIAL PARK RD NC 28625
2862WPTTSB3PGWD,7680,300 PGW DRIVE NC 28621
28677PRNML173MC,7743,173 MCNESS RD NC 28677
28689SMRSLHWY90,7758,HWY 901 NC 28689
2869WJSTRT186RI,7769,1806 RIVER ST NC 28697
28704SHVLL200CP,7773,46 DUKE ENERGY LANE NC 28704
28734CHCGR324IN,7802,324 INDUSTRIAL PARK RD NC 28734
2900WDWRDSUSHWY,7876,US HWY 301 NORTH SC 29001
29304KHLRC4000S,8075,4000 S PINE ST SC 29302
29304MLLKN920MI,8077,920 MILLIKEN RD SC 29303
29334KLMRN310SP,8111,310 SPARTANGREEN BLVD SC 29334
29349KYSTN2165H,8142,2165 HWY 292 SC 29349
2753WSTHRN51PAT,6914,501 PATETOWN RD NC 27530
27587PWRSC169HE,6975,1609 HERITAGE COMMERCE CT NC 27587
27870PTCHRBECKE,7068,100 PATCH RUBBER RD NC 27890
27877RSNLLWATER,7072,302 N WATER ST NC 27877
27893GNCCR2600W,7094,2600 WILCO BLVD NC 27893
27893LLNCN237BA,7096,2307 BALDREE RD S NC 27893
28071RCSQR2075H,7185,2075 HIGH ROCK RD NC 28071
28115BYSTT448NM,7248,448 N MAIN NC 28115
28120NWNGC1725D,7270,1725 DRYWALL DR NC 28120
28145NVRSL358WO,7307,358 WOODMILL RD NC 28147
28163DYSCB1233R,7336,12303 RENEE FORD RD NC 28163
28213NCLCH6101O,7376,6101 ORR RD NC 28213
28273PRLLM2001C,7425,2001 CONTINENTAL BLVD NC 28273
28328STLTC37IND,7474,307 INDUSTRIAL DR NC 28328
2832WSWCLN1395T,7478,1395 TURKEY HWY NC 28328
28461CGNTR1281C,7592,1281 POWERHOUSE DR NC 28461
28532HSFSL13UTE,7617,103 OUTER BANKS DR NC 28532
2853WRGSHV417MI,7620,417 MILLER BLVD NC 28532
2861WNGNRD911IN,7668,911 INDUSTRIAL DR SW NC 28613
28638CHMCLPOBOX,7684,3194 HICKORY BLVD NC 28638
28677SCCLMRTE15,7745,2227 SALISBURY HWY NC 28677
2867WCNCRT1125J,7752,1125 JOHNSON DR NC 28677
28711SNGRCHIGHW,7778,2858 HWY 70 W NC 28711
2871WSHWND77IND,7785,77 INDUSTRIAL PARK RD NC 28713
28771STNLYATOAH,7829,68 SNOWBIRD RD NC 28771
2879WSTHRN715SH,7850,715 SHEPHERD ST NC 28792
2880WDVSTL4MEAD,7860,40 MEADOW RD NC 28803
2880WDVSTL76RBE,7861,76 ROBERTS STREET NC 28801
29044STHCR142WA,7904,142 WATEREE STATION RD SC 29044
29045HRDWC2114L,7905,2114 LARRY JEFFERS RD SC 29045
29153CTRPL1355N,7989,1355 N WISE DR SC 29153
2915WCTRPL65JEF,7993,650 JEFFERSON RD SC 29153
2918WHLTHC1MLIL,8017,1 MLILY WAY SC 29180
2922WRGSNC95MIL,8054,9500 MILL FIELD RD SC 29223
29304PRNTPI85AT,8079,195 ABBOTT LN SC 29307
2930WBMCMN951SP,8084,951 S PINE ST SC 29302
29334SBRSX245PK,8115,245 PKWY E SC 29334
29335CLNSM14355,8119,14355 HWY 221 SC 29335
29349NMNSPLAWSO,8145,195 LAWSON FORK RD SC 29349
29365BLRTB506CH,8157,506 CHARLOTTE HWY SC 29365
2950WCNCRT341SI,8316,3041 S IRBY ST SC 29505
29526GRNGR1605M,8334,1605 MARINA DR SC 29526
29536WXCRPSTATE,8346,1422 WIX RD SC 29536
29556NTRNTHWY52,8363,1416 N WILLIAMSBURG COUNTY HWY SC 29556
29609NGNRD500FU,8402,500 FURMAN HALL RD SC 29609
2960WCLMBF1354R,8406,1354 RUTHERFORD ROAD SC 29609
2960WCRWNG11MIL,8408,101 MILLEDGE RD SC 29605
29624WCRFR101MA,8431,101 MASTERS BLVD SC 29626
29630HNYWLHWY93,8453,HWY 93 SC 29630
29644NCCSN5000N,8468,1044 S NELSON RD SC 29644
29646TRNNC131EM,8478,1310 EMERALD RD SC 29646
29651BMWMN1400H,8495,1400 HWY 101 S SC 29651
29706PPGND1497L,8585,1497 LANCASTER HWY SC 29706
3000WRTDCM613SH,8731,6130 SHILOH RD GA 30005
30027TLNTP4413T,8760,4413 TANNER CHURCH RD GA 30294
3004WSPCTR1725M,8782,1725 MACLEOD DR GA 30043
3007WHLCLB115NR,8820,1015 NORCROSS INDUSTRIAL CT GA 30071
2814WBRLCM175CI,7312,175 CIRCLE M DR NC 28147
28758BRNFRPOBOX,7824,158 N EGERTON RD NC 28792
2907WCNCRT481IN,7927,481 INDUSTRIAL DR SC 29072
29201LNDCH750GR,8019,750 GRANBY LN SC 29201
29330MRMTW597NM,8106,5970 N MAIN ST SC 29330
2944WMRCNG27PEN,8242,2007 PENNYROYAL RD SC 29440
2944WRDYMX21RID,8245,210 S RIDGE RD SC 29440
29461SFXBT255HW,8262,2550 HWY 52 SC 29461
29605SPCLT3QUAL,8391,"3 QUALITY WAY, BEECHTREE INDL PARK SC 29605"
2960WTRNST46BEE,8414,46 BEECHTREE BLVD SC 29605
2961WHRTNS12GAR,8421,50 BEECHTREE BLVD SC 29605
29620FLXBLCARWE,8424,528 CARWELLYN RD SC 29620
29697RTHPR102TW,8572,109 TWENTYNINE CT SC 29697
2992WDWKNS7621S,8714,7621 SPEEDWAY BLVD SC 29927
29406TXCRF4950V,8193,4950 VIRGINIA AVE SC 29405
29606MCMPNPERIM,8396,1400 PERIMETER RD SC 29605
29627GDMNCUSRTE,8436,645 FLOYD WRIGHT DR SC 29627
29681WRGRC803NO,8554,803 N MAPLE ST SC 29681
30062MRPNC990IN,8804,990 IND US TRIAL PARK DR GA 30062
27217NTNLS226GL,6679,226 GLEN RAVEN RD NC 27217
28021KYSTN100CO,7134,100 COMMERCE DR NC 28021
2802WRNKRC2268S,7149,2268 SPEEDRAIL CT S NC 28025
29016BSCRP2000C,7881,2000 CAROLINA PINES DR SC 29016
2933WFHRRT1825E,8124,1825 E MAIN ST SC 29334
2937WSBWLD256MI,8170,256 MIDWAY DR SC 29379
2968WBKXXX2812G,8560,2812 GRANDVIEW DR SC 29680
28752CRNRSOLDRO,7819,1 QUALITY WAY OFF HWY 70 W NC 28752
2930WNMTCR545NB,8094,5405 N BLACKSTOCK RD SC 29303
2970WSTLCR576TR,8597,576 TRIBAL RD SC 29702
17403SDMND160SH,4410,160 S HARTMAN ST PA 17403
17522MRGNC485WE,4454,485 WENGER DR PA 17522
1754WBNKLY2742L,4478,2742 LANCASTER ROAD PA 17545
17724PTRLM9122S,4546,9122 STATE RT 414 PA 17724
17777WTSNT5THAS,4564,5TH & ASH ST PA 17777
17522LMTCH1215R,4453,1215 RIDGE AVE PA 17522
17543PRCSN148WE,4469,148 W AIRPORT RD PA 17543
17545FLSMD262SC,4471,236 S CHERRY ST PA 17545
17601CLRKF3649H,4499,3649 HEMPLAND RD PA 17601
